Id,Q2,W,angle,tmin,tmax,target,a1,b1,a2,b2,a3,b3,a4,b4,lowe done?
1,1.6,3.08,left,0.02,0.08,LH,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
2,1.6,3.08,center,0.02,0.08,LH,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
3,1.6,3.08,right,0.02,0.08,LH,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
4,2.45,3.2,left,0.03,0.15,0,-0.37119565217390943,4.036963768115934,-0.1457608695652131,3.599432246376801,-0.16065217391304382,3.555837681159422,-0.31717391304347736,4.038422826086954,y
5,2.45,3.2,center,0.03,0.15,0,-0.3909313725490221,4.079522058823535,-0.1513480392156842,3.6113051470588187,-0.15012254901960806,3.527389705882353,-0.3676470588235287,4.175588235294115,y
6,2.45,3.2,right,0.03,0.15,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,na
7,3.85,3.07,left,0.03,0.15,LH,-0.28815789473684555,4.13176315789475,-0.1605263157894781,3.721868421052649,-0.16447368421052874,3.670723684210535,-0.2552631578947432,4.0917368421052895,y
8,3.85,3.07,center,0.03,0.15,LH,-0.2728205128205087,4.078171794871779,-0.15632478632478503,3.707121367521364,-0.16854700854700785,3.6880273504273475,-0.25487179487179246,4.089574358974349,y
9,3.85,3.07,right,0.03,0.15,LH,-0.27248023715415026,4.0767243083003954,-0.1608201581027634,3.722979249011846,-0.16625494071146124,3.6785647233201524,-0.26111660079051163,4.115165513833982,y
10,5.0,2.95,left,0.15,0.42,0,-0.24581196581196837,4.148117948717963,-0.16170940170940376,3.790056410256421,-0.1714529914529921,3.7788512820512867,-0.23675213675213938,4.162025641025656,y
11,5.0,2.95,center,0.15,0.42,0,-0.24629446640316063,4.151138833992088,-0.16773715415019885,3.818021245059295,-0.17243083003952217,3.784802371541482,-0.24308300395256907,4.1954545454545435,y
12,5.0,2.95,right,0.15,0.42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,missing
13,6.0,3.19,left,0.15,0.42,0,-0.20645161290322595,4.404607526881722,-0.15072302558398096,4.120759176863174,-0.16073414905450514,4.1302649239896185,-0.21034482758620748,4.475339080459772,y
14,6.0,3.19,center,0.15,0.42,0,-0.20846153846153742,4.4190538461538384,-0.15692307692307406,4.153407692307674,-0.1634615384615333,4.149049999999965,-0.19942307692307285,4.401824999999972,y
15,6.0,3.19,right,0.15,0.42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,na
16,1.45,2.02,left,0.07,0.25,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
17,1.45,2.02,center,0.07,0.25,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
18,1.45,2.02,right,0.07,0.25,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
19,2.73,2.63,left,0.07,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
20,2.73,2.63,center,0.07,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
21,2.73,2.63,right,0.07,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
22,2.12,2.05,left,0.12,0.39,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2019
23,2.12,2.05,center,0.12,0.39,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2019
24,2.12,2.05,right,0.12,0.39,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2019
25,3.85,2.62,left,0.12,0.39,LH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
26,3.85,2.62,center,0.12,0.39,LH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
27,3.85,2.62,right,0.12,0.39,LH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
28,3.85,2.02,left,0.4,1.0,0,-0.5233036707452758,3.920699295513546,-0.22474972191323753,2.9699419725621086,-0.19454949944382655,2.661923433444568,-0.5002780867630687,4.04294438264738,y
29,3.85,2.02,center,0.4,1.0,0,-0.5539243365330326,4.028180406549973,-0.2282608695652158,2.9822233201580968,-0.2514116318464145,2.903620835686054,-0.48546019198193446,3.985091756070032,y
30,3.85,2.02,right,0.4,1.0,0,-0.5502564102564041,4.009597435897414,-0.22786324786324416,2.9814982905982768,-0.10256410256410184,2.2874358974358944,-0.5386324786324784,4.2089931623931625,y
31,6.0,2.4,left,0.4,1.0,LH,-0.346099135572822,4.392324652587824,-0.19600065652697346,3.6440272458693594,-0.22144107670423652,3.6631685633001547,-0.349190283400811,4.576052631578955,y
32,6.0,2.4,center,0.4,1.0,LH,-0.3440794499617992,4.381246371275762,-0.19316271963330525,3.629129870129855,-0.21906035141329183,3.6488846447669934,-0.3431245225362867,4.536951489686782,y
33,6.0,2.4,right,0.4,1.0,LH,-0.3493954480796586,4.412670697012801,-0.19404931247036558,3.6342769084874376,-0.2185277382645821,3.646897226173554,-0.3542555713608345,4.606928046467521,y
34,8.5,2.79,left,0.4,1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,na
35,8.5,2.79,center,0.4,1.0,0,-0.2118792971734152,4.572223834988544,-0.17100840336134754,4.271605042016832,-0.1880825057295649,4.364712375859439,-0.21673032849503338,4.649009549274247,y
36,8.5,2.79,right,0.4,1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,na
37,1.6,3.08,left,0.02,0.08,LD+,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
38,1.6,3.08,center,0.02,0.08,LD+,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
39,1.6,3.08,right,0.02,0.08,LD+,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
40,3.85,3.07,left,0.03,0.15,LD+,-0.2782467532467552,4.09649675324676,-0.1568181818181844,3.708687229437239,-0.16298701298701435,3.664930735930741,-0.2629870129870122,4.123906926406923,y
41,3.85,3.07,center,0.03,0.15,LD+,-0.2701890989988892,4.06779199110123,-0.15394883203559476,3.6991562847608432,-0.1647942157953267,3.672207823507594,-0.25756395995550624,4.100653874675566,y
42,3.85,3.07,right,0.03,0.15,LD+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YYYYYY
43,3.85,2.62,left,0.12,0.39,LD+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
44,3.85,2.62,center,0.12,0.39,LD+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
45,3.85,2.62,right,0.12,0.39,LD+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
46,6.0,2.4,left,0.4,1.0,LD+,-0.33928236397748657,4.358115853658539,-0.19319887429643628,3.6294329268292733,-0.22155253283302215,3.66495145403378,-0.3605300187617289,4.648757973733601,y
47,6.0,2.4,center,0.4,1.0,LD+,-0.3497067448680341,4.412070197947208,-0.19079912023460457,3.616163398093845,-0.2250733137829882,3.6878184567448473,-0.3463159824046909,4.556614736070373,y
48,6.0,2.4,right,0.4,1.0,LD+,-0.33934237881606477,4.355603457708732,-0.19373016741438076,3.6324335266440704,-0.22092132618448507,3.663111664295881,-0.37093773935879343,4.714943100995743,y
49,1.6,3.08,left,0.02,0.08,LD-,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
50,1.6,3.08,center,0.02,0.08,LD-,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
51,1.6,3.08,right,0.02,0.08,LD-,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
52,3.85,3.07,left,0.03,0.15,LD-,-0.2721739130434803,4.076442753623194,-0.15978260869565603,3.7191340579710275,-0.16934782608695456,3.6916909420289756,-0.2557608695652159,4.092661956521731,y
53,3.85,3.07,center,0.03,0.15,LD-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YYYYYY
54,3.85,3.07,right,0.03,0.15,LD-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YYYYYY
55,3.85,2.62,left,0.12,0.39,LD-,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
56,3.85,2.62,center,0.12,0.39,LD-,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
57,3.85,2.62,right,0.12,0.39,LD-,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,n
58,6.0,2.4,left,0.4,1.0,LD-,-0.35310208994419784,4.43176304847359,-0.19487908961593423,3.6378769559032875,-0.2196629828208788,3.652350640113806,-0.35165225954699775,4.590636557610251,y
59,6.0,2.4,center,0.4,1.0,LD-,-0.35731304985337214,4.4537064699413484,-0.1963892961876839,3.646993218475078,-0.22186583577712396,3.667206286656877,-0.3406341642228704,4.519824963343084,y
60,6.0,2.4,right,0.4,1.0,LD-,-0.2922771672771706,4.127718253968273,-0.20543345543345856,3.6902248677248863,-0.9104090354090295,7.987728937728901,-0.9033882783882714,7.945296092796048,y
